TWEET;CREENCIA;CONFIANZA
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://bit.ly/btYoHc;Yes;1
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://url4.eu/2r22O;Yes;1
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://url4.eu/2r22Y;Yes;1
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... http://5vj09.tk GECKO;Yes;1
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... http://bit.ly/a3CGvV;Yes;0.6691
Climate change could raise cost of U.S. allergies (Reuters) http://nxy.in/412x6;Yes;1
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... http://bit.ly/bIA0k6;Yes;1
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' http://bit.ly/aJTn26;Yes;0.674
Military leads fight against climate change http://z3igz.tk EnvNewsNet;Yes;1
Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... http://bit.ly/cGv0Fi;Yes;0.669
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... http://bit.ly/doKgfh;Yes;0.6577
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. http://oohja.com/xbo5q;Yes;0.6734
Fighting poverty and global warming in Africa http://goo.gl/fb/Shq49 #energy;Yes;0.878
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green http://bit.ly/bPm7kx #ESG #sustainability;Yes;0.8292
http://bit.ly/azDu0 It's time to tackle climate change through wind energy http://bit.ly/cCB87D;Yes;1
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings http://ow.ly/1BvA8;Yes;0.7177
UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... http://bit.ly/9sLEvH;Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming http://bit.ly/aKb76i;Yes;0.801
"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey http://bit.ly/beV0W0";Yes;1
Military leads fight against climate change: Pew http://ff.im/-jeG3f;No;0.348
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake http://bit.ly/apYoIc;Yes;1
For Earth Day: Resources on coping with climate change: http://tinyurl.com/2cck5xd;Yes;1
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bJsszY;Yes;1
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bJsszY;Yes;1
Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... http://huff.to/9W7JPn;Yes;1
RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live http://cmpcc.org;Yes;1
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one;Yes;1
Topography of mountains could complicate rates of global warming http://bit.ly/cA5Bom;Yes;1
RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at http://cmpcc.org;Yes;0.6295
Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change;Yes;0.6829
"RT @hereisawayjose Bolivia President on Global Warming http://su.pr/2YY1Lc ""Main cause of Earth destruction is capitalism"" #Green #EarthDay";Yes;1
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://goo.gl/fb/zOgmE #cleantech;Yes;1
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://url4.eu/2pBxm;Yes;0.7034
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://url4.eu/2pBxr;Yes;0.8856
Carbon offsets: How a Vatican forest failed to reduce global warming http://url4.eu/2pAAi;Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming http://url4.eu/2pAAt;Yes;1
Ethiopia: Climate Change Increasing Poverty And Vulnerability http://bit.ly/9Vlo8s #africa #solar;Yes;1
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... http://tinyurl.com/yystbl4 #Africa;Yes;1
"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ http://bit.ly/beV0W0";Yes;0.6301
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ http://bit.ly/beV0W0";Yes;0.6486
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bKlU4H;Yes;0.9272
RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. http://bit.ly/bTZpff #chinagreen;Yes;0.6714
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. http://oohja.com/xbiVi;Yes;1
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. http://oohja.com/xbiRQ;Yes;1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhWq;Yes;0.9241
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhVZ;Yes;1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhRx;Yes;1
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. http://oohja.com/xbhkY;Yes;1
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. http://oohja.com/xbhgq;Yes;1
Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs http://twurl.nl/kuge4f;Yes;0.6821
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST http://twurl.nl/ioewyh;Yes;1
RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks http://bit.ly/9o8F9y #p2 ||@JoyVBehar;Yes;0.7242
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... http://tinyurl.com/y3z9q2k #Africa;Yes;1
Buying carbon offsets may ease eco-guilt but not global warming: http://j.mp/necir http://www.csmonitor.com/carbonoffsets http://j.mp/aonX07;Yes;1
"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" http://is.gd/bwrfQ #cmpcc";Yes;1
RT @EcoSteward: This #EcoMonday, @InvasiveNotes discussion of climate change and invasive species recommended: http://bit.ly/a0re9B;Yes;1
Migratory Birds' New Climate Change Strategy: Stay Home http://shar.es/mvU8M KB: More proof global warming is 4 the birds. Not. #eco #green;No;0.5092
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversityhttp://bit.ly/b7NUDJ;Yes;1
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? http://bit.ly/8XvRNS (also live webcast!);Yes;0.6422
RT @NWF: New York City's new waterfront plan will take climate change into consideration: http://bit.ly/9ASqdR;Yes;1
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change http://bit.ly/b93A5l;Yes;1
Seasonal Allergies Getting Worse From Climate Change http://url4.eu/2mhrI;Yes;1
Just because I believe in global warming, peeps thinks I should believe in god instead. Why??;Yes;1
Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8;Yes;1
Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8;Yes;1
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!;Yes;1
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3;Yes;1
Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... http://huff.to/cI7Rik;Yes;0.6421
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://drudge.tw/cYgyix;Yes;0.501
Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com http://j.mp/aaUM2W;Yes;1
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco http://bit.ly/aqJi4L -Plez RT";Yes;1
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse http://bit.ly/9c04zs;Yes;1
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3;Yes;0.7045
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://bit.ly/adhL7L #breaking;Yes;1
Global warming, melting ice caps could trigger more volcanic eruptions: http://bit.ly/b4JVwb;Yes;1
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*;Yes;1
An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... http://bit.ly/doQ3i5;Yes;1
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... http://tinyurl.com/y7q29uk #Africa;Yes;0.9234
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""";Yes;1
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG;Yes;1
RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws http://bit.ly/cwy6b3 via @addthis;Yes;1
RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? http://bit.ly/dlvKNq;Yes;0.6769
Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. http://oohja.com/xb9Ck;Yes;1
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   http://bit.ly/byeIQM;Yes;0.7239
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG;Yes;0.6708
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8ws;Yes;1
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8s2;Yes;1
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??;Yes;0.6561
Climate Change-ing your Allergies http://bit.ly/d3bTo0 (NRDC);Yes;1
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG;Yes;1
Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... http://bit.ly/cbVER7;Yes;0.6926
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves;Yes;1
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.;Yes;1
"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro";Yes;1
"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green";Yes;1
Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy;Yes;0.7425
RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.;Yes;1
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG;Yes;0.689
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb62Q;Yes;0.9231
Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... http://bit.ly/dqvsYV;Yes;0.6668
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb60z;Yes;1
RT @Climates_Change: Bring Indigenous Voices into the Conversation About Climate Change http://bit.ly/bbP0gG;Yes;0.6532
"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes http://twurl.nl/f0aqb3";Yes;1
•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) http://twurl.nl/asgkwk;Yes;1
Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG;Yes;1
RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: http://bit.ly/anoudi;Yes;1
Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. http://bit.ly/9ELCjd;Yes;0.6855
Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun;Yes;0.6665
I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring http://bit.ly/d5DMi6;Yes;1
RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  http://bit.ly/d5DMi6;Yes;1
Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. http://bit.ly/aJOZGb (via @mims);Yes;1
Cochabamba Summit Offers New Approach to Combating Climate Change http://bit.ly/btb7jh;No;0.3717
Climate Change is Making You Sneeze: http://bit.ly/c3YVMW The Eco-Sexy Solution? Nettle Root tincture, baby!;Yes;0.7014
ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... http://bit.ly/duQAk9;Yes;1
Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. http://oohja.com/xaZEP;Yes;1
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZAj;Yes;0.6862
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZzN;Yes;1
"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... http://bit.ly/biteQA";Yes;1
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg;Yes;0.6702
Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... http://huff.to/9ipDju;Yes;1
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg;Yes;1
"Author Nikolas Kozloff on ""No Rain in the Amazon: How South America's Climate Change Affects the Entire Planet"" http://bit.ly/cKs5dW";Yes;0.7188
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heiW;Yes;0.69
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heip;Yes;1
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://goo.gl/fb/hKvfY #cleantech;Yes;0.657
How do we solve this global warming thing? http://url4.eu/2hdT2;Yes;1
How do we solve this global warming thing? http://url4.eu/2hdSo;Yes;1
Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z;Yes;1
Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.;Yes;0.6702
Is nationalizing the energy industry necessary to fight global warming?  http://bit.ly/9AEI0k;Yes;1
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. http://oohja.com/xaW3l;Yes;0.9128
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVgV;Yes;0.6539
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVcb;Yes;1
reading from @time Allergies Worse Than Ever? Blame Global Warming http://bit.ly/9QVt5w;Yes;1
The $6BN REDD+ forest conservation partnership to curb climate change leaves on env'l groups & indigenous populations. http://bit.ly/9bbuoO;Yes;0.6508
2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.;Yes;1
Missing' heat may affect future climate change http://bit.ly/diXzNL #environment #eco;Yes;0.6535
Climate Change - Building a Green Economy http://bit.ly/bzJACi;Yes;0.6715
Climate change threatening Glacier National Park and Montana's economy - Examiner.com http://bit.ly/bN869t;Yes;1
New York: Climate change could raise cost of allergies http://newyork.cityandpress.com/2010/04/15/climate-change-could-raise-cost-allergies;Yes;1
Ecotone: #Climate change from a #population perspective http://ow.ly/1yNlN #cities #environment (via @argus27);Yes;0.5318
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. http://retwt.me/1MPSj (via @PlanetSantaBarb);Yes;0.6554
Think your allergies are bad now? Wait until climate change kicks in, Michig.. http://retwt.me/1MPQX (via @greenmichigan);Yes;1
Exclusive: Climate change could raise cost of U.S. allergies| Reuters http://retwt.me/1MPF2 (via @healthfreaks);Yes;1
Spring storm season starting a little late this year???  Must be global warming!;No;0.6502
Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... http://tinyurl.com/yyupfmh #Africa;Yes;0.6598
Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger http://retwt.me/1MPhx (via @paulo_one);Yes;1
All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers http://bit.ly/cywGTN;Yes;1
Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MODN (via @tweeterism);Yes;1
Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.;Yes;1
Green:Net: How the Internet, Computing Can Fight Climate Change http://bit.ly/9exozj;Yes;1
Green:Net: How the Internet, Computing Can Fight Climate Change: The Internet, software, computing... http://bit.ly/9exozj (Via @inhabitat);Yes;1
Leaked U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://retwt.me/1MOhG (via @planetprison3r);Yes;0.6603
Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://ff.im/-iVsBt;Yes;1
Reinvent Cities to Stop Climate Change http://retwt.me/1MO9d (via @reenymal);Yes;1
Climate Change Continues To Melt Glacier National Park's Icons | National P.. http://retwt.me/1MNUL (via @nat_parks_news);Yes;1
Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNMY (via @meganurupo);Yes;0.7096
Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNC2 (via @stevegeritano);Yes;1
Abu Dhabi faces climate change flood threat - expert - Culture & Society - Arabia.. http://retwt.me/1MNjF (via @zaqzaqat);Yes;1
China active, serious in tackling climate change, says vice president | Humani.. http://retwt.me/1MN3W (via @NewsOnGreen);Yes;1
You and Us and Me - China active, serious in tackling climate change, says vic.. http://retwt.me/1MN3p (via @NewsOnGreen);Yes;1
Study: SE Asia will be hit hard by climate change http://retwt.me/1MN2w (via @cuddlendance);Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 27;Yes;1
Obama: China Must Act Soon on Climate Change http://bit.ly/b6vhX2;Yes;1
If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 28;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 29;Yes;0.6945
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 30;Yes;1
Demand Congress take action on climate change. Pls sign the petition. http://bit.ly/9tnK2S;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 31;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 32;Yes;1
Carbon Age is killing us. Climate change legislation now: http://action.sierraclub.org/site/MessageViewer?em_id=173961.0;Yes;1
Obama says in TV interview that 'we can't allow China to wait' on tackling climate change http://bit.ly/b9XdIz;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 33;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 34;Yes;1
Government Claims Global Warming May Cause Cancer http://bit.ly/cbPJhu;Yes;1
Protect Wildlife Habitat from Climate Change: http://www.thepetitionsite.com/takeaction/820159630;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 35;Yes;0.6757
Plan B: California Braces for Climate Change http://bit.ly/99dwDO;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 36;Yes;1
Nine scenarios for imminent apocalypse•À_only one is global warming http://j.mp/aYqZO2 (via @rawdawgbuffalo);Yes;0.5492
If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy;Yes;1
DC: *FT Work for Greenpeace to STOP GLOBAL WARMING - $12-$13/hr*: Get Involved! Call now 202-595-3368 Greenpeac... http://bit.ly/cqCzSj;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 7;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 8;Yes;1
http://bit.ly/dCjUlz -Ancient Weapons Emerge From Melting Arctic Ice-Wow,positive side of Global Warming.Other one is reclaim of dry land;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 9;Yes;1
Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra;Yes;1
Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  http://bit.ly/cDeYFt;Yes;0.8373
SEC warns publically held companies to advise investors of risks of #climate change. http://ow.ly/1DUIy #CSR;Yes;1
Save the Whales and They'll Save Us from Global Warming http://bit.ly/cN013J #tcot;Yes;1
"Al Gore @ #IRA ""If a snake were coming up the aisle, there wouldn't be a long debate about what to do."" And we dawdle about climate change.";Yes;0.6368
We should be leaders on climate change but it is always put on the back burner... http://dld.bz/b3mA;Yes;1
RT @WWF_Climate    RT @CarbonDiplomacy Grapes of Wrath: How much trouble does #climate change mean for agriculture? http://bit.ly/abDh6c;Yes;1
Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... http://bit.ly/cPxcfZ;Yes;0.6757
Climate change and Why Your Allergies Are Getting Worse http://bit.ly/dzYKHK /via @MotherJones;Yes;1
Watch PBS 'Dimming the Sun' for more on this #NPR: Could Cleaner Air Actually Intensify Global Warming?-More at http://n.pr/126226938;Yes;0.6671
RT @CHIoxfamaction: People in poor countries are 20 times more likely to be affected by disasters caused by climate change than those in the developed world;Yes;1
Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... http://bit.ly/94D2xv;Yes;1
Oxfam: Climate change devastating rural Ethiopian communities. http://tinyurl.com/3a67ary #Oxfam #climatechange;Yes;1
Alexi @Giannoulias believes in putting a price on global warming pollutants to spur development of alternative technology #p2 #ilsen;Yes;1
Go for the green! Olympic athletes push for climate change action -- http://mnn.com/node/55056 #climatechange #climateaction #green;Yes;0.6479
DC: *FT Work for Greenpeace to STOP GLOBAL WARMING - $12-$13/hr*:Get Involved! Call now 202-595-3368 Greenpeace... http://bit.ly/9m44EJ;Yes;1
Health effects are a big deal. RT @EPSclimate: Impacts of Climate Change Extend to Human Health http://bit.ly/99jnIZ #moms #families #eco;Yes;1
Climate change causing change in ocean chemistry at unprecedented rate. http://www.planetark.com/enviro-news/item/57703 #climatechange;Yes;0.6746
Global warming can be good for http://bit.ly/dd2Rm3, another cool video;Yes;0.6972
Allergies Worse Than Ever? Blame Global Warming (Time.com) http://nxy.in/dxleu;Yes;1
RT @arkarthick: Bats, Birds & Lizards Can Fight #Climate Change (Wired) http://bit.ly/c4PCkp (via @unreal_g) #Science RT @Flipbooks;Yes;0.6674
For #EarthDay Global warming could affect patient symptoms http://bit.ly/7FppTC classic post;Yes;0.8374
Just signed an #earthday petition to take action on climate change via @rockthevote: http://bit.ly/ainwzM;Yes;1
Treating Climate Change as a Curable Disease http://viigo.im/3fSu;Yes;1
"Global warming: Believe it - Vallejo Times-Herald: Your editorial on global warming (""Keeping the debate honest,"" ... http://bit.ly/9CueV7";Yes;1
See how CCX Member Motorola is working to be part of the solution in addressing the climate change challenge: http://bit.ly/aC6NgS;Yes;1
RT @manyko2: Bolivian President Blames Capitalism for Global Warming http://bit.ly/bcIloj //US policies threaten indigenous peoples #p2;Yes;0.5047
Interesting point re: why macro-probs like global warming are never solved: politicians need only solve immediate probs for re-election;Yes;0.5337
RT @MotherJones: Yet another gift from global warming: increased allergy attacks http://bit.ly/9o8F9y #p2;Yes;1
Global Climate Change Effects on the Mid-Continent (Download to view animations) http://slidesha.re/bRD3BW;Yes;1
Are you ready for climate change, if so let your lawmakers know, how tell them sign petitions, drop a hint :);Yes;1
UMC Expands Climate Change Policy and Carbon Emission Reduction Goals http://goo.gl/fb/T7njr;Yes;0.643
Allergies Worse Than Ever? Blame Global Warming: Thanks to an unusually cold and snowy winter, followed by an earl... http://bit.ly/aJKsz3;Yes;1
Ridiculous: giving a climate change denier a nature show? Keep Sarah Palin off #Discovery: http://bit.ly/bmUK4w (via @CREDOmobile);Yes;0.6257
Report: #Allergy Season to Get Worse with #Climate Change read from @time this really sucks for me: http://bit.ly/aDeS0r;Yes;1
CODA Automotive Lauded for Innovation and Technology Efforts to Combat Climate Change and Air Pollution http://goo.gl/fb/AQRum;Yes;1
Report Claims Climate Change Is To Blame For Increase Of Allergies http://bit.ly/bG1dIR;Yes;1
Tulips in mid-April in Chicago? Love the global warming. http://ow.ly/i/16qg;Yes;1
Global warming will make allergies worse for 25 million Americans, hitting those with asthma hardest: WWF (ClimateWire) #globalwarming;Yes;1
85 degrees in April eh? Hellooo global warming, nice to meet u;Yes;1
Rejoice, NY Times mentions crop wild relatives in article about adapting agriculture to climate change http://bit.ly/dmIB7F #agriculture;Yes;0.6705
U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://bit.ly/ddyxmX;Yes;1
U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://bit.ly/c75hGf;Yes;0.6452
RT @highcountrynews RT @NPCA: Two more glaciers are gone from namesake nat. park due to global warming, USGS reports http://bit.ly/dpXXWW;Yes;1
RT @solveclimate: Feeling the Heat Down Under When it Comes to Climate Change: Erwin Jackson, The Climate Institute.. http://bit.ly/c1uWL4;Yes;0.7282
UK leads the way! RT @10cities Schumacher College: Mobilising Democracy to Tackle Climate Change http://post.ly/RsXv;Yes;1
EXCLUSIVE - Climate change could raise cost of U.S. allergies http://bit.ly/bQan2X;Yes;1
RT @EnergyBoom: Harvard and MIT Receive $2 Million to Study Health and Environmental Impacts of Climate Change http://bit.ly/cLhcxz;Yes;1
Sen. Kerry writing in The Hill today: U.S. Must Lead on Climate Change http://bit.ly/dCT9yb;Yes;0.689
Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 1;Yes;1
Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 2;Yes;1
EXCLUSIVE - Climate change could raise cost of U.S. allergies http://bit.ly/bQan2X;Yes;1
Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 3;Yes;1
Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 4;Yes;1
